epoch,epsilon,step,train_loss,win_rate
0,0.968999981880188,9,4.142261028289795,
0,,15,,0.5483871102333069
1,0.9670000076293945,19,7.762592792510986,
1,0.9639999866485596,29,7.754522323608398,
1,,31,,0.6000000238418579
2,0.9589999914169312,39,3.1341567039489746,
2,,47,,0.5
3,0.9559999704360962,49,2.9116415977478027,
3,0.9549999833106995,59,4.824035167694092,
3,,63,,0.375
4,0.9470000267028809,69,4.749904632568359,
4,0.9470000267028809,79,1.6389719247817993,
4,,79,,0.3333333432674408
5,0.9449999928474426,89,1.9902468919754028,
5,,95,,0.0
6,0.9409999847412109,99,1.916752576828003,
6,0.9390000104904175,109,1.8707263469696045,
